"SessionID","Configuration Name","Observer","DeviceID","Session Start Time","Session End Time","DateTime","Date","Time","Year","Month","Hour","Project Animals","Duration","Grid Size","Image Size","Notes","Channel Type","Focal Name","All Occurrence Value","Frame Number","Interval Channel 1 Name","Interval Channel 1 Value","Interval Channel 1 Social Modifier","Interval Channel 2 Name","Interval Channel 2 Value"
"116","NA Porcupine","Brittany Merlo","ab3ebecb-6e6d-4645-929c-0a1be3a261cc","2018-03-22 14:55:59","2018-03-22 15:10:59","2018-03-22 14:58:00","2018-03-22","14:58:00","2018","3","14","Igloo,Toby","15.00","","600x600","","Interval","Igloo","","2","","","","Inactive","Resting/sleeping"
"116","NA Porcupine","Brittany Merlo","ab3ebecb-6e6d-4645-929c-0a1be3a261cc","2018-03-22 14:55:59","2018-03-22 15:10:59","2018-03-22 14:59:00","2018-03-22","14:59:00","2018","3","14","Igloo,Toby","15.00","","600x600","","Interval","Igloo","","3","","","","Inactive","Resting/sleeping"
"116","NA Porcupine","Brittany Merlo","ab3ebecb-6e6d-4645-929c-0a1be3a261cc","2018-03-22 14:55:59","2018-03-22 15:10:59","2018-03-22 15:00:00","2018-03-22","15:00:00","2018","3","15","Igloo,Toby","15.00","","600x600","","Interval","Igloo","","4","","","","Inactive","Resting/sleeping"
"116","NA Porcupine","Brittany Merlo","ab3ebecb-6e6d-4645-929c-0a1be3a261cc","2018-03-22 14:55:59","2018-03-22 15:10:59","2018-03-22 15:01:00","2018-03-22","15:01:00","2018","3","15","Igloo,Toby","15.00","","600x600","","Interval","Igloo","","5","","","","Inactive","Resting/sleeping"
"116","NA Porcupine","Brittany Merlo","ab3ebecb-6e6d-4645-929c-0a1be3a261cc","2018-03-22 14:55:59","2018-03-22 15:10:59","2018-03-22 15:02:00","2018-03-22","15:02:00","2018","3","15","Igloo,Toby","15.00","","600x600","","Interval","Igloo","","6","","","","Inactive","Resting/sleeping"
"116","NA Porcupine","Brittany Merlo","ab3ebecb-6e6d-4645-929c-0a1be3a261cc","2018-03-22 14:55:59","2018-03-22 15:10:59","2018-03-22 15:03:00","2018-03-22","15:03:00","2018","3","15","Igloo,Toby","15.00","","600x600","","Interval","Igloo","","7","","","","Inactive","Resting/sleeping"
"116","NA Porcupine","Brittany Merlo","ab3ebecb-6e6d-4645-929c-0a1be3a261cc","2018-03-22 14:55:59","2018-03-22 15:10:59","2018-03-22 15:04:00","2018-03-22","15:04:00","2018","3","15","Igloo,Toby","15.00","","600x600","","Interval","Igloo","","8","","","","Inactive","Resting/sleeping"
"116","NA Porcupine","Brittany Merlo","ab3ebecb-6e6d-4645-929c-0a1be3a261cc","2018-03-22 14:55:59","2018-03-22 15:10:59","2018-03-22 15:05:00","2018-03-22","15:05:00","2018","3","15","Igloo,Toby","15.00","","600x600","","Interval","Igloo","","9","","","","Inactive","Resting/sleeping"
"116","NA Porcupine","Brittany Merlo","ab3ebecb-6e6d-4645-929c-0a1be3a261cc","2018-03-22 14:55:59","2018-03-22 15:10:59","2018-03-22 15:06:00","2018-03-22","15:06:00","2018","3","15","Igloo,Toby","15.00","","600x600","","Interval","Igloo","","10","","","","Inactive","Resting/sleeping"
"116","NA Porcupine","Brittany Merlo","ab3ebecb-6e6d-4645-929c-0a1be3a261cc","2018-03-22 14:55:59","2018-03-22 15:10:59","2018-03-22 15:07:00","2018-03-22","15:07:00","2018","3","15","Igloo,Toby","15.00","","600x600","","Interval","Igloo","","11","","","","Inactive","Resting/sleeping"
