"SessionID","Configuration Name","Observer","DeviceID","Session Start Time","Session End Time","DateTime","Date","Time","Year","Month","Hour","Project Animals","Duration","Grid Size","Image Size","Notes","Channel Type","Focal Name","All Occurrence Value","Frame Number","Interval Channel 1 Name","Interval Channel 1 Value","Interval Channel 1 Social Modifier","Interval Channel 2 Name","Interval Channel 2 Value"
"3","Tamarins","Laura Pilarski","ab3ebecb-6e6d-4645-929c-0a1be3a261cc","2017-11-14 14:43:07","","2017-11-14 14:45:25","2017-11-14","14:45:25","2017","11","14","Calie,Crala","15.00","","600x600","","Interval","Calie","","2","","","","At rest","Observing humans at glass"
"3","Tamarins","Laura Pilarski","ab3ebecb-6e6d-4645-929c-0a1be3a261cc","2017-11-14 14:43:07","","2017-11-14 14:45:25","2017-11-14","14:45:25","2017","11","14","Calie,Crala","15.00","","600x600","","Interval","Crala","","2","","","","At rest","Observing humans at glass"
"3","Tamarins","Laura Pilarski","ab3ebecb-6e6d-4645-929c-0a1be3a261cc","2017-11-14 14:43:07","","","","","","","","Calie,Crala","15.00","","600x600","","Interval","Calie","","3","","","","",""
"3","Tamarins","Laura Pilarski","ab3ebecb-6e6d-4645-929c-0a1be3a261cc","2017-11-14 14:43:07","","","","","","","","Calie,Crala","15.00","","600x600","","Interval","Crala","","3","","","","",""
"3","Tamarins","Laura Pilarski","ab3ebecb-6e6d-4645-929c-0a1be3a261cc","2017-11-14 14:43:07","","2017-11-14 14:47:25","2017-11-14","14:47:25","2017","11","14","Calie,Crala","15.00","","600x600","","Interval","Calie","","4","","","","At rest","Observing humans at glass"
"3","Tamarins","Laura Pilarski","ab3ebecb-6e6d-4645-929c-0a1be3a261cc","2017-11-14 14:43:07","","2017-11-14 14:47:25","2017-11-14","14:47:25","2017","11","14","Calie,Crala","15.00","","600x600","","Interval","Crala","","4","","","","At rest","Observing humans at glass"
"3","Tamarins","Laura Pilarski","ab3ebecb-6e6d-4645-929c-0a1be3a261cc","2017-11-14 14:43:07","","2017-11-14 14:48:25","2017-11-14","14:48:25","2017","11","14","Calie,Crala","15.00","","600x600","","Interval","Calie","","5","","","","At rest","Observing humans at glass"
"3","Tamarins","Laura Pilarski","ab3ebecb-6e6d-4645-929c-0a1be3a261cc","2017-11-14 14:43:07","","2017-11-14 14:48:25","2017-11-14","14:48:25","2017","11","14","Calie,Crala","15.00","","600x600","","Interval","Crala","","5","","","","At rest","Observing humans at glass"
"3","Tamarins","Laura Pilarski","ab3ebecb-6e6d-4645-929c-0a1be3a261cc","2017-11-14 14:43:07","","2017-11-14 14:49:25","2017-11-14","14:49:25","2017","11","14","Calie,Crala","15.00","","600x600","","Interval","Calie","","6","","","","At rest","Observing humans at glass"
"3","Tamarins","Laura Pilarski","ab3ebecb-6e6d-4645-929c-0a1be3a261cc","2017-11-14 14:43:07","","2017-11-14 14:49:25","2017-11-14","14:49:25","2017","11","14","Calie,Crala","15.00","","600x600","","Interval","Crala","","6","","","","At rest","Observing humans at glass"
