"SessionID","Configuration Name","Observer","DeviceID","Session Start Time","Session End Time","DateTime","Date","Time","Year","Month","Hour","Project Animals","Duration","Grid Size","Image Size","Notes","Channel Type","Focal Name","Frame Number","Interval Channel 1 Name","Interval Channel 1 Value","Interval Channel 2 Name","Interval Channel 2 Value","Interval Channel 3 Name","Interval Channel 3 Value","Interval Channel 4 Name","Interval Channel 4 Value","Interval Channel 4 Social Modifier","Interval Channel 5 Name","Interval Channel 5 Value","Interval Channel 6 Name","Interval Channel 6 Value","Interval Channel 7 Name","Interval Channel 7 Value","Interval Channel 8 Name","Interval Channel 8 Value","Interval Channel 9 Name","Interval Channel 9 Value","Interval Channel 10 Name","Interval Channel 10 Value","Interval Channel 11 Name","Interval Channel 11 Value"
"1071","Chickens","Meiyer Torrisi","f208fba2-acef-49ff-96c2-6482634a4eeb","2019-06-11 14:51:30","2019-06-11 15:06:30","2019-06-11 14:55:30","2019-06-11","14:55:30","2019","6","14","Dwight,BBB,Cali,Edna May,Barb,Ashe,Pam,Tyrion,Angela,Chibi","15.00","","600x600","","Interval","Dwight","4","","","","","","","","","","","","Maintenance","Preening","","","","","","","","","",""
"1071","Chickens","Meiyer Torrisi","f208fba2-acef-49ff-96c2-6482634a4eeb","2019-06-11 14:51:30","2019-06-11 15:06:30","2019-06-11 14:55:30","2019-06-11","14:55:30","2019","6","14","Dwight,BBB,Cali,Edna May,Barb,Ashe,Pam,Tyrion,Angela,Chibi","15.00","","600x600","","Interval","Edna May","4","Inactive","Resting","","","","","","","","","","","","","","","","","","","","",""
"1071","Chickens","Meiyer Torrisi","f208fba2-acef-49ff-96c2-6482634a4eeb","2019-06-11 14:51:30","2019-06-11 15:06:30","2019-06-11 14:55:30","2019-06-11","14:55:30","2019","6","14","Dwight,BBB,Cali,Edna May,Barb,Ashe,Pam,Tyrion,Angela,Chibi","15.00","","600x600","","Interval","Pam","4","","","","","","","","","","","","","","","","","","","","","","Other","Out of View"
"1071","Chickens","Meiyer Torrisi","f208fba2-acef-49ff-96c2-6482634a4eeb","2019-06-11 14:51:30","2019-06-11 15:06:30","2019-06-11 14:56:30","2019-06-11","14:56:30","2019","6","14","Dwight,BBB,Cali,Edna May,Barb,Ashe,Pam,Tyrion,Angela,Chibi","15.00","","600x600","","Interval","Ashe","5","Inactive","Resting","","","","","","","","","","","","","","","","","","","","",""
"1071","Chickens","Meiyer Torrisi","f208fba2-acef-49ff-96c2-6482634a4eeb","2019-06-11 14:51:30","2019-06-11 15:06:30","2019-06-11 14:56:30","2019-06-11","14:56:30","2019","6","14","Dwight,BBB,Cali,Edna May,Barb,Ashe,Pam,Tyrion,Angela,Chibi","15.00","","600x600","","Interval","Barb","5","Inactive","Resting","","","","","","","","","","","","","","","","","","","","",""
"1071","Chickens","Meiyer Torrisi","f208fba2-acef-49ff-96c2-6482634a4eeb","2019-06-11 14:51:30","2019-06-11 15:06:30","2019-06-11 14:56:30","2019-06-11","14:56:30","2019","6","14","Dwight,BBB,Cali,Edna May,Barb,Ashe,Pam,Tyrion,Angela,Chibi","15.00","","600x600","","Interval","BBB","5","Inactive","Alert","","","","","","","","","","","","","","","","","","","","",""
"1071","Chickens","Meiyer Torrisi","f208fba2-acef-49ff-96c2-6482634a4eeb","2019-06-11 14:51:30","2019-06-11 15:06:30","2019-06-11 14:56:30","2019-06-11","14:56:30","2019","6","14","Dwight,BBB,Cali,Edna May,Barb,Ashe,Pam,Tyrion,Angela,Chibi","15.00","","600x600","","Interval","Dwight","5","","","","","","","","","","","","Maintenance","Preening","","","","","","","","","",""
"1071","Chickens","Meiyer Torrisi","f208fba2-acef-49ff-96c2-6482634a4eeb","2019-06-11 14:51:30","2019-06-11 15:06:30","2019-06-11 14:56:30","2019-06-11","14:56:30","2019","6","14","Dwight,BBB,Cali,Edna May,Barb,Ashe,Pam,Tyrion,Angela,Chibi","15.00","","600x600","","Interval","Edna May","5","Inactive","Resting","","","","","","","","","","","","","","","","","","","","",""
"1071","Chickens","Meiyer Torrisi","f208fba2-acef-49ff-96c2-6482634a4eeb","2019-06-11 14:51:30","2019-06-11 15:06:30","2019-06-11 14:56:30","2019-06-11","14:56:30","2019","6","14","Dwight,BBB,Cali,Edna May,Barb,Ashe,Pam,Tyrion,Angela,Chibi","15.00","","600x600","","Interval","Pam","5","","","","","","","","","","","","","","","","","","","","","","Other","Out of View"
"1071","Chickens","Meiyer Torrisi","f208fba2-acef-49ff-96c2-6482634a4eeb","2019-06-11 14:51:30","2019-06-11 15:06:30","2019-06-11 14:57:30","2019-06-11","14:57:30","2019","6","14","Dwight,BBB,Cali,Edna May,Barb,Ashe,Pam,Tyrion,Angela,Chibi","15.00","","600x600","","Interval","Ashe","6","Inactive","Resting","","","","","","","","","","","","","","","","","","","","",""
"1071","Chickens","Meiyer Torrisi","f208fba2-acef-49ff-96c2-6482634a4eeb","2019-06-11 14:51:30","2019-06-11 15:06:30","2019-06-11 14:57:30","2019-06-11","14:57:30","2019","6","14","Dwight,BBB,Cali,Edna May,Barb,Ashe,Pam,Tyrion,Angela,Chibi","15.00","","600x600","","Interval","Barb","6","Inactive","Resting","","","","","","","","","","","","","","","","","","","","",""
"1071","Chickens","Meiyer Torrisi","f208fba2-acef-49ff-96c2-6482634a4eeb","2019-06-11 14:51:30","2019-06-11 15:06:30","2019-06-11 14:57:30","2019-06-11","14:57:30","2019","6","14","Dwight,BBB,Cali,Edna May,Barb,Ashe,Pam,Tyrion,Angela,Chibi","15.00","","600x600","","Interval","BBB","6","","","","","","","","","","","","Maintenance","Preening","","","","","","","","","",""
"1071","Chickens","Meiyer Torrisi","f208fba2-acef-49ff-96c2-6482634a4eeb","2019-06-11 14:51:30","2019-06-11 15:06:30","2019-06-11 14:57:30","2019-06-11","14:57:30","2019","6","14","Dwight,BBB,Cali,Edna May,Barb,Ashe,Pam,Tyrion,Angela,Chibi","15.00","","600x600","","Interval","Dwight","6","Inactive","Alert","","","","","","","","","","","","","","","","","","","","",""
"1071","Chickens","Meiyer Torrisi","f208fba2-acef-49ff-96c2-6482634a4eeb","2019-06-11 14:51:30","2019-06-11 15:06:30","2019-06-11 14:57:30","2019-06-11","14:57:30","2019","6","14","Dwight,BBB,Cali,Edna May,Barb,Ashe,Pam,Tyrion,Angela,Chibi","15.00","","600x600","","Interval","Edna May","6","Inactive","Resting","","","","","","","","","","","","","","","","","","","","",""
"1071","Chickens","Meiyer Torrisi","f208fba2-acef-49ff-96c2-6482634a4eeb","2019-06-11 14:51:30","2019-06-11 15:06:30","2019-06-11 14:57:30","2019-06-11","14:57:30","2019","6","14","Dwight,BBB,Cali,Edna May,Barb,Ashe,Pam,Tyrion,Angela,Chibi","15.00","","600x600","","Interval","Pam","6","","","","","","","","","","","","","","","","","","","","","","Other","Out of View"
"1071","Chickens","Meiyer Torrisi","f208fba2-acef-49ff-96c2-6482634a4eeb","2019-06-11 14:51:30","2019-06-11 15:06:30","2019-06-11 14:58:30","2019-06-11","14:58:30","2019","6","14","Dwight,BBB,Cali,Edna May,Barb,Ashe,Pam,Tyrion,Angela,Chibi","15.00","","600x600","","Interval","Ashe","7","","","","","","","","","","","","Maintenance","Preening","","","","","","","","","",""
"1071","Chickens","Meiyer Torrisi","f208fba2-acef-49ff-96c2-6482634a4eeb","2019-06-11 14:51:30","2019-06-11 15:06:30","2019-06-11 14:58:30","2019-06-11","14:58:30","2019","6","14","Dwight,BBB,Cali,Edna May,Barb,Ashe,Pam,Tyrion,Angela,Chibi","15.00","","600x600","","Interval","Barb","7","Inactive","Resting","","","","","","","","","","","","","","","","","","","","",""
"1071","Chickens","Meiyer Torrisi","f208fba2-acef-49ff-96c2-6482634a4eeb","2019-06-11 14:51:30","2019-06-11 15:06:30","2019-06-11 14:58:30","2019-06-11","14:58:30","2019","6","14","Dwight,BBB,Cali,Edna May,Barb,Ashe,Pam,Tyrion,Angela,Chibi","15.00","","600x600","","Interval","BBB","7","","","","","","","","","","","","Maintenance","Preening","","","","","","","","","",""
"1071","Chickens","Meiyer Torrisi","f208fba2-acef-49ff-96c2-6482634a4eeb","2019-06-11 14:51:30","2019-06-11 15:06:30","2019-06-11 14:58:30","2019-06-11","14:58:30","2019","6","14","Dwight,BBB,Cali,Edna May,Barb,Ashe,Pam,Tyrion,Angela,Chibi","15.00","","600x600","","Interval","Dwight","7","","","","","","","","","","","","Maintenance","Preening","","","","","","","","","",""
"1071","Chickens","Meiyer Torrisi","f208fba2-acef-49ff-96c2-6482634a4eeb","2019-06-11 14:51:30","2019-06-11 15:06:30","2019-06-11 14:58:30","2019-06-11","14:58:30","2019","6","14","Dwight,BBB,Cali,Edna May,Barb,Ashe,Pam,Tyrion,Angela,Chibi","15.00","","600x600","","Interval","Edna May","7","","","","","","","","","","","","Maintenance","Preening","","","","","","","","","",""
"1071","Chickens","Meiyer Torrisi","f208fba2-acef-49ff-96c2-6482634a4eeb","2019-06-11 14:51:30","2019-06-11 15:06:30","2019-06-11 14:58:30","2019-06-11","14:58:30","2019","6","14","Dwight,BBB,Cali,Edna May,Barb,Ashe,Pam,Tyrion,Angela,Chibi","15.00","","600x600","","Interval","Pam","7","","","","","","","","","","","","","","","","","","","","","","Other","Out of View"
"1071","Chickens","Meiyer Torrisi","f208fba2-acef-49ff-96c2-6482634a4eeb","2019-06-11 14:51:30","2019-06-11 15:06:30","2019-06-11 14:59:30","2019-06-11","14:59:30","2019","6","14","Dwight,BBB,Cali,Edna May,Barb,Ashe,Pam,Tyrion,Angela,Chibi","15.00","","600x600","","Interval","Ashe","8","","","","","","","","","","","","Maintenance","Preening","","","","","","","","","",""
"1071","Chickens","Meiyer Torrisi","f208fba2-acef-49ff-96c2-6482634a4eeb","2019-06-11 14:51:30","2019-06-11 15:06:30","2019-06-11 14:59:30","2019-06-11","14:59:30","2019","6","14","Dwight,BBB,Cali,Edna May,Barb,Ashe,Pam,Tyrion,Angela,Chibi","15.00","","600x600","","Interval","Barb","8","","","Locomotion","Walking","","","","","","","","","","","","","","","","","","",""
"1071","Chickens","Meiyer Torrisi","f208fba2-acef-49ff-96c2-6482634a4eeb","2019-06-11 14:51:30","2019-06-11 15:06:30","2019-06-11 14:59:30","2019-06-11","14:59:30","2019","6","14","Dwight,BBB,Cali,Edna May,Barb,Ashe,Pam,Tyrion,Angela,Chibi","15.00","","600x600","","Interval","BBB","8","","","Locomotion","Walking","","","","","","","","","","","","","","","","","","",""
"1071","Chickens","Meiyer Torrisi","f208fba2-acef-49ff-96c2-6482634a4eeb","2019-06-11 14:51:30","2019-06-11 15:06:30","2019-06-11 14:59:30","2019-06-11","14:59:30","2019","6","14","Dwight,BBB,Cali,Edna May,Barb,Ashe,Pam,Tyrion,Angela,Chibi","15.00","","600x600","","Interval","Dwight","8","","","Locomotion","Walking","","","","","","","","","","","","","","","","","","",""
"1071","Chickens","Meiyer Torrisi","f208fba2-acef-49ff-96c2-6482634a4eeb","2019-06-11 14:51:30","2019-06-11 15:06:30","2019-06-11 14:59:30","2019-06-11","14:59:30","2019","6","14","Dwight,BBB,Cali,Edna May,Barb,Ashe,Pam,Tyrion,Angela,Chibi","15.00","","600x600","","Interval","Edna May","8","","","","","","","","","","","","","","Exploratory & Feeding","Foraging","","","","","","","",""
"1071","Chickens","Meiyer Torrisi","f208fba2-acef-49ff-96c2-6482634a4eeb","2019-06-11 14:51:30","2019-06-11 15:06:30","2019-06-11 14:59:30","2019-06-11","14:59:30","2019","6","14","Dwight,BBB,Cali,Edna May,Barb,Ashe,Pam,Tyrion,Angela,Chibi","15.00","","600x600","","Interval","Pam","8","","","","","","","","","","","","","","","","","","","","","","Other","Out of View"
"1071","Chickens","Meiyer Torrisi","f208fba2-acef-49ff-96c2-6482634a4eeb","2019-06-11 14:51:30","2019-06-11 15:06:30","2019-06-11 15:00:30","2019-06-11","15:00:30","2019","6","15","Dwight,BBB,Cali,Edna May,Barb,Ashe,Pam,Tyrion,Angela,Chibi","15.00","","600x600","","Interval","Ashe","9","Inactive","Resting","","","","","","","","","","","","","","","","","","","","",""
"1071","Chickens","Meiyer Torrisi","f208fba2-acef-49ff-96c2-6482634a4eeb","2019-06-11 14:51:30","2019-06-11 15:06:30","2019-06-11 15:00:30","2019-06-11","15:00:30","2019","6","15","Dwight,BBB,Cali,Edna May,Barb,Ashe,Pam,Tyrion,Angela,Chibi","15.00","","600x600","","Interval","Barb","9","","","","","","","","","","","","","","Exploratory & Feeding","Consumption","","","","","","","",""
"1071","Chickens","Meiyer Torrisi","f208fba2-acef-49ff-96c2-6482634a4eeb","2019-06-11 14:51:30","2019-06-11 15:06:30","2019-06-11 15:00:30","2019-06-11","15:00:30","2019","6","15","Dwight,BBB,Cali,Edna May,Barb,Ashe,Pam,Tyrion,Angela,Chibi","15.00","","600x600","","Interval","BBB","9","","","Locomotion","Walking","","","","","","","","","","","","","","","","","","",""
