"SessionID","Configuration Name","Observer","DeviceID","Session Start Time","Session End Time","DateTime","Date","Time","Year","Month","Hour","Project Animals","Duration","Grid Size","Image Size","Notes","Channel Type","Focal Name","All Occurrence Value","All Occurrence Behavior Modifier 1","All Occurrence Behavior Modifier 2","All Occurrence Behavior Modifier 3","All Occurrence Behavior Social Modifier","All Occurrence Comment","Frame Number","Interval Channel 1 Name","Interval Channel 1 Value","Interval Channel 2 Name","Interval Channel 2 Value"
"1737","Hyrax","Anna Anderson","fec64e9b-ff9b-4fe1-8710-c140662355ed","2020-03-14 14:37:47","2020-03-14 14:52:47","2020-03-14 14:46:47","2020-03-14","14:46:47","2020","3","14","Janet,Brad","15.00","","600x600","","Interval","Brad","","","","","","","9","","","Inactive","Standing"
"1737","Hyrax","Anna Anderson","fec64e9b-ff9b-4fe1-8710-c140662355ed","2020-03-14 14:37:47","2020-03-14 14:52:47","2020-03-14 14:46:47","2020-03-14","14:46:47","2020","3","14","Janet,Brad","15.00","","600x600","","Interval","Janet","","","","","","","9","","","Inactive","Standing"
"1737","Hyrax","Anna Anderson","fec64e9b-ff9b-4fe1-8710-c140662355ed","2020-03-14 14:37:47","2020-03-14 14:52:47","2020-03-14 14:47:47","2020-03-14","14:47:47","2020","3","14","Janet,Brad","15.00","","600x600","","Interval","Brad","","","","","","","10","","","Inactive","Standing"
"1737","Hyrax","Anna Anderson","fec64e9b-ff9b-4fe1-8710-c140662355ed","2020-03-14 14:37:47","2020-03-14 14:52:47","2020-03-14 14:47:47","2020-03-14","14:47:47","2020","3","14","Janet,Brad","15.00","","600x600","","Interval","Janet","","","","","","","10","","","Inactive","Standing"
"1737","Hyrax","Anna Anderson","fec64e9b-ff9b-4fe1-8710-c140662355ed","2020-03-14 14:37:47","2020-03-14 14:52:47","2020-03-14 14:48:47","2020-03-14","14:48:47","2020","3","14","Janet,Brad","15.00","","600x600","","Interval","Brad","","","","","","","11","","","Inactive","Standing"
"1737","Hyrax","Anna Anderson","fec64e9b-ff9b-4fe1-8710-c140662355ed","2020-03-14 14:37:47","2020-03-14 14:52:47","2020-03-14 14:48:47","2020-03-14","14:48:47","2020","3","14","Janet,Brad","15.00","","600x600","","Interval","Janet","","","","","","","11","","","Inactive","Standing"
"1737","Hyrax","Anna Anderson","fec64e9b-ff9b-4fe1-8710-c140662355ed","2020-03-14 14:37:47","2020-03-14 14:52:47","2020-03-14 14:49:47","2020-03-14","14:49:47","2020","3","14","Janet,Brad","15.00","","600x600","","Interval","Brad","","","","","","","12","","","Inactive","Standing"
"1737","Hyrax","Anna Anderson","fec64e9b-ff9b-4fe1-8710-c140662355ed","2020-03-14 14:37:47","2020-03-14 14:52:47","2020-03-14 14:49:47","2020-03-14","14:49:47","2020","3","14","Janet,Brad","15.00","","600x600","","Interval","Janet","","","","","","","12","","","Inactive","Standing"
"1737","Hyrax","Anna Anderson","fec64e9b-ff9b-4fe1-8710-c140662355ed","2020-03-14 14:37:47","2020-03-14 14:52:47","2020-03-14 14:50:47","2020-03-14","14:50:47","2020","3","14","Janet,Brad","15.00","","600x600","","Interval","Brad","","","","","","","13","","","Inactive","Standing"
"1737","Hyrax","Anna Anderson","fec64e9b-ff9b-4fe1-8710-c140662355ed","2020-03-14 14:37:47","2020-03-14 14:52:47","2020-03-14 14:50:47","2020-03-14","14:50:47","2020","3","14","Janet,Brad","15.00","","600x600","","Interval","Janet","","","","","","","13","","","Inactive","Standing"
"1737","Hyrax","Anna Anderson","fec64e9b-ff9b-4fe1-8710-c140662355ed","2020-03-14 14:37:47","2020-03-14 14:52:47","2020-03-14 14:51:47","2020-03-14","14:51:47","2020","3","14","Janet,Brad","15.00","","600x600","","Interval","Brad","","","","","","","14","","","Inactive","Standing"
"1737","Hyrax","Anna Anderson","fec64e9b-ff9b-4fe1-8710-c140662355ed","2020-03-14 14:37:47","2020-03-14 14:52:47","2020-03-14 14:51:47","2020-03-14","14:51:47","2020","3","14","Janet,Brad","15.00","","600x600","","Interval","Janet","","","","","","","14","","","Inactive","Standing"
"1737","Hyrax","Anna Anderson","fec64e9b-ff9b-4fe1-8710-c140662355ed","2020-03-14 14:37:47","2020-03-14 14:52:47","2020-03-14 14:52:47","2020-03-14","14:52:47","2020","3","14","Janet,Brad","15.00","","600x600","","Interval","Brad","","","","","","","15","","","Inactive","Standing"
"1737","Hyrax","Anna Anderson","fec64e9b-ff9b-4fe1-8710-c140662355ed","2020-03-14 14:37:47","2020-03-14 14:52:47","2020-03-14 14:52:47","2020-03-14","14:52:47","2020","3","14","Janet,Brad","15.00","","600x600","","Interval","Janet","","","","","","","15","","","Inactive","Standing"
"1691","Hyrax","Gina Gley","664aada0-4976-408a-a13f-3f2629c3b099","2020-03-17 15:06:42","2020-03-17 15:21:42","2020-03-17 15:07:42","2020-03-17","15:07:42","2020","3","15","Janet,Brad","15.00","","600x600","Intern Nathan Sylvain ","Interval","Brad","","","","","","","1","","","Inactive","Standing"
"1691","Hyrax","Gina Gley","664aada0-4976-408a-a13f-3f2629c3b099","2020-03-17 15:06:42","2020-03-17 15:21:42","2020-03-17 15:07:42","2020-03-17","15:07:42","2020","3","15","Janet,Brad","15.00","","600x600","Intern Nathan Sylvain ","Interval","Janet","","","","","","","1","","","Inactive","Standing"
