"SessionID","Configuration Name","Observer","DeviceID","Session Start Time","Session End Time","DateTime","Date","Time","Year","Month","Hour","Project Animals","Duration","Grid Size","Image Size","Notes","Channel Type","Focal Name","All Occurrence Value","All Occurrence Behavior Social Modifier","Frame Number","Interval Channel 1 Name","Interval Channel 1 Value","Interval Channel 2 Name","Interval Channel 2 Value","Interval Channel 2 Social Modifier"
"1023","Squirrel monkey","Gina Gley","fec64e9b-ff9b-4fe1-8710-c140662355ed","2019-07-09 15:26:24","2019-07-09 15:41:24","2019-07-09 15:30:24","2019-07-09","15:30:24","2019","7","15","Filbert,Isabel,Brazil,Squirt","15.00","","600x600","Recorded Squirt's behavior under Damian","Interval","Damian","","","4","","","Active","Other",""
"1023","Squirrel monkey","Gina Gley","fec64e9b-ff9b-4fe1-8710-c140662355ed","2019-07-09 15:26:24","2019-07-09 15:41:24","2019-07-09 15:30:24","2019-07-09","15:30:24","2019","7","15","Filbert,Isabel,Brazil,Squirt","15.00","","600x600","Recorded Squirt's behavior under Damian","Interval","Filbert","","","4","","","Active","Running",""
"1023","Squirrel monkey","Gina Gley","fec64e9b-ff9b-4fe1-8710-c140662355ed","2019-07-09 15:26:24","2019-07-09 15:41:24","2019-07-09 15:30:24","2019-07-09","15:30:24","2019","7","15","Filbert,Isabel,Brazil,Squirt","15.00","","600x600","Recorded Squirt's behavior under Damian","Interval","Isabel","","","4","Inactive","Sitting","","",""
"1023","Squirrel monkey","Gina Gley","fec64e9b-ff9b-4fe1-8710-c140662355ed","2019-07-09 15:26:24","2019-07-09 15:41:24","2019-07-09 15:31:24","2019-07-09","15:31:24","2019","7","15","Filbert,Isabel,Brazil,Squirt","15.00","","600x600","Recorded Squirt's behavior under Damian","Interval","Brazil","","","5","Inactive","Sitting","","",""
"1023","Squirrel monkey","Gina Gley","fec64e9b-ff9b-4fe1-8710-c140662355ed","2019-07-09 15:26:24","2019-07-09 15:41:24","2019-07-09 15:31:24","2019-07-09","15:31:24","2019","7","15","Filbert,Isabel,Brazil,Squirt","15.00","","600x600","Recorded Squirt's behavior under Damian","Interval","Damian","","","5","","","Active","Eating",""
"1023","Squirrel monkey","Gina Gley","fec64e9b-ff9b-4fe1-8710-c140662355ed","2019-07-09 15:26:24","2019-07-09 15:41:24","2019-07-09 15:31:24","2019-07-09","15:31:24","2019","7","15","Filbert,Isabel,Brazil,Squirt","15.00","","600x600","Recorded Squirt's behavior under Damian","Interval","Filbert","","","5","Inactive","Sitting","","",""
"1023","Squirrel monkey","Gina Gley","fec64e9b-ff9b-4fe1-8710-c140662355ed","2019-07-09 15:26:24","2019-07-09 15:41:24","2019-07-09 15:31:24","2019-07-09","15:31:24","2019","7","15","Filbert,Isabel,Brazil,Squirt","15.00","","600x600","Recorded Squirt's behavior under Damian","Interval","Isabel","","","5","Inactive","Sitting","","",""
"1023","Squirrel monkey","Gina Gley","fec64e9b-ff9b-4fe1-8710-c140662355ed","2019-07-09 15:26:24","2019-07-09 15:41:24","2019-07-09 15:32:24","2019-07-09","15:32:24","2019","7","15","Filbert,Isabel,Brazil,Squirt","15.00","","600x600","Recorded Squirt's behavior under Damian","Interval","Brazil","","","6","Inactive","Sitting","","",""
"1023","Squirrel monkey","Gina Gley","fec64e9b-ff9b-4fe1-8710-c140662355ed","2019-07-09 15:26:24","2019-07-09 15:41:24","2019-07-09 15:32:24","2019-07-09","15:32:24","2019","7","15","Filbert,Isabel,Brazil,Squirt","15.00","","600x600","Recorded Squirt's behavior under Damian","Interval","Damian","","","6","Inactive","Sitting","","",""
"1023","Squirrel monkey","Gina Gley","fec64e9b-ff9b-4fe1-8710-c140662355ed","2019-07-09 15:26:24","2019-07-09 15:41:24","2019-07-09 15:32:24","2019-07-09","15:32:24","2019","7","15","Filbert,Isabel,Brazil,Squirt","15.00","","600x600","Recorded Squirt's behavior under Damian","Interval","Filbert","","","6","Inactive","Sitting","","",""
