STATION,NAME,DATE,TAVG,TMAX,TMIN,TOBS,WT01,WT02,WT03,WT05,WT06,WT07,WT08,WT09,WT11
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",4/28/18,61,82,40,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",4/29/18,69,86,47,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",4/30/18,72,84,54,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",5/1/18,62,79,45,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",5/2/18,60,70,47,,,,1,1,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",5/3/18,54,62,42,,1,,1,,,,1,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",5/4/18,55,74,37,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",5/5/18,62,83,41,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",5/6/18,67,86,45,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",5/7/18,69,89,51,,,,,,,,1,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",5/8/18,75,87,55,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",5/9/18,69,91,47,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",5/10/18,71,96,45,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",5/11/18,71,85,56,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",5/12/18,67,79,55,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",5/13/18,66,83,56,,1,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",5/14/18,67,78,59,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",5/15/18,66,80,56,,,,1,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",5/16/18,67,88,47,,1,,,,,,1,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",5/17/18,73,94,52,,,,,,,,1,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",5/18/18,72,75,58,,,,1,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",5/19/18,61,69,50,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",5/20/18,53,66,46,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",5/21/18,61,83,44,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",5/22/18,65,86,45,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",5/23/18,71,89,54,,,,,,,,1,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",5/24/18,72,92,51,,,,,,,,1,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",5/25/18,75,94,54,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",5/26/18,77,98,53,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",5/27/18,76,94,57,,,,1,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",5/28/18,73,85,61,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",5/29/18,69,86,55,,1,,,,,,1,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",5/30/18,72,90,56,,,,1,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",5/31/18,71,96,49,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",6/1/18,79,99,51,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",6/2/18,74,83,55,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",6/3/18,65,71,52,,1,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",6/4/18,69,97,47,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",6/5/18,80,100,52,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",6/6/18,83,99,64,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",6/7/18,78,94,62,,,,1,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",6/8/18,77,100,56,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",6/9/18,81,101,53,,,,,,,,1,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",6/10/18,84,100,58,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",6/11/18,80,90,65,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",6/12/18,77,94,58,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",6/13/18,82,98,66,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",6/14/18,81,103,55,,,,1,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",6/15/18,82,101,61,,,,,,,,1,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",6/16/18,80,90,65,,,,,,,,1,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",6/17/18,76,95,61,,,,1,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",6/18/18,73,94,60,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",6/19/18,77,93,64,,,,1,,,,1,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",6/20/18,74,89,57,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",6/21/18,76,95,60,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",6/22/18,76,89,64,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",6/23/18,75,95,58,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",6/24/18,71,79,52,,1,,1,,,,1,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",6/25/18,65,90,46,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",6/26/18,79,102,56,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",6/27/18,85,106,59,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",6/28/18,88,104,67,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",6/29/18,87,100,63,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",6/30/18,80,92,64,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",7/1/18,74,95,64,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",7/2/18,80,99,64,,,,1,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",7/3/18,81,101,63,,,,,,,,1,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",7/4/18,86,103,63,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",7/5/18,81,91,63,,,,1,,,,1,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",7/6/18,72,95,58,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",7/7/18,81,98,63,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",7/8/18,83,99,65,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",7/9/18,83,96,65,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",7/10/18,82,100,63,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",7/11/18,83,95,67,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",7/12/18,78,95,63,,,,1,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",7/13/18,79,93,66,,,,1,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",7/14/18,79,96,64,,,,1,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",7/15/18,79,93,65,,1,,1,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",7/16/18,72,88,65,,1,,1,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",7/17/18,75,88,65,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",7/18/18,79,100,63,,,,,,,,1,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",7/19/18,86,104,68,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",7/20/18,86,103,70,,,,1,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",7/21/18,84,101,68,,,,1,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",7/22/18,79,102,65,,,,1,,,,1,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",7/23/18,78,90,66,,1,,1,,,,1,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",7/24/18,72,89,63,,1,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",7/25/18,80,97,64,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",7/26/18,74,85,65,,,,1,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",7/27/18,74,88,64,,,,1,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",7/28/18,71,89,57,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",7/29/18,71,86,57,,1,,1,,,,1,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",7/30/18,70,79,59,,,,1,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",7/31/18,69,86,54,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",8/1/18,73,90,56,,,,1,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",8/2/18,75,94,56,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",8/3/18,79,93,62,,,,1,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",8/4/18,75,98,59,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",8/5/18,78,95,60,,,,1,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",8/6/18,77,89,63,,1,,1,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",8/7/18,72,86,61,,1,,1,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",8/8/18,73,81,64,,,,1,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",8/9/18,73,88,57,,1,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",8/10/18,74,87,58,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",8/11/18,72,88,54,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",8/12/18,72,88,55,,,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",8/13/18,73,90,57,,1,,,,,,,,
USW00093058,"PUEBLO MEMORIAL AIRPORT, CO US",8/14/18,74,87,60,,1,,1,,,,,,
