"SessionID","Configuration Name","Observer","DeviceID","Session Start Time","Session End Time","DateTime","Date","Time","Year","Month","Hour","Project Animals","Duration","Grid Size","Image Size","Notes","Channel Type","Focal Name","Frame Number","Interval Channel 1 Name","Interval Channel 1 Value","Interval Channel 2 Name","Interval Channel 2 Value","Interval Channel 3 Name","Interval Channel 3 Value","Interval Channel 4 Name","Interval Channel 4 Value","Interval Channel 4 Social Modifier","Interval Channel 5 Name","Interval Channel 5 Value","Interval Channel 6 Name","Interval Channel 6 Value","Interval Channel 7 Name","Interval Channel 7 Value","Interval Channel 8 Name","Interval Channel 8 Value","Interval Channel 9 Name","Interval Channel 9 Value","Interval Channel 10 Name","Interval Channel 10 Value"
"445","Elk","Meiyer Torrisi","fec64e9b-ff9b-4fe1-8710-c140662355ed","2019-01-28 16:11:00","2019-01-28 16:26:00","2019-01-28 16:26:00","2019-01-28","16:26:00","2019","1","16","Natasha","15.00","","600x600","","Interval","Natasha","15","","","","","","","","","","","","Exploratory & Feeding","Foraging","","","","","","","",""
"425","Elk","Michaela Sadiarin","664aada0-4976-408a-a13f-3f2629c3b099","2019-02-07 11:46:26","2019-02-07 12:01:26","2019-02-07 11:47:26","2019-02-07","11:47:26","2019","2","11","Natasha","15.00","","600x600","","Interval","Natasha","1","Inactive","Alert","","","","","","","","","","Exploratory & Feeding","Foraging","","","","","","","",""
"425","Elk","Michaela Sadiarin","664aada0-4976-408a-a13f-3f2629c3b099","2019-02-07 11:46:26","2019-02-07 12:01:26","2019-02-07 11:48:26","2019-02-07","11:48:26","2019","2","11","Natasha","15.00","","600x600","","Interval","Natasha","2","Inactive","Alert","","","","","","","","","","Exploratory & Feeding","Foraging","","","","","","","",""
"425","Elk","Michaela Sadiarin","664aada0-4976-408a-a13f-3f2629c3b099","2019-02-07 11:46:26","2019-02-07 12:01:26","2019-02-07 11:49:26","2019-02-07","11:49:26","2019","2","11","Natasha","15.00","","600x600","","Interval","Natasha","3","Inactive","Alert","","","","","","","","","","Exploratory & Feeding","Consumption","","","","","","","",""
"425","Elk","Michaela Sadiarin","664aada0-4976-408a-a13f-3f2629c3b099","2019-02-07 11:46:26","2019-02-07 12:01:26","2019-02-07 11:50:26","2019-02-07","11:50:26","2019","2","11","Natasha","15.00","","600x600","","Interval","Natasha","4","Inactive","Alert","","","","","","","","","","Exploratory & Feeding","Consumption","","","","","","","",""
"425","Elk","Michaela Sadiarin","664aada0-4976-408a-a13f-3f2629c3b099","2019-02-07 11:46:26","2019-02-07 12:01:26","2019-02-07 11:51:26","2019-02-07","11:51:26","2019","2","11","Natasha","15.00","","600x600","","Interval","Natasha","5","Inactive","Alert","","","","","","","","","","Exploratory & Feeding","Consumption","","","","","","","",""
"425","Elk","Michaela Sadiarin","664aada0-4976-408a-a13f-3f2629c3b099","2019-02-07 11:46:26","2019-02-07 12:01:26","2019-02-07 11:52:26","2019-02-07","11:52:26","2019","2","11","Natasha","15.00","","600x600","","Interval","Natasha","6","Inactive","Alert","","","","","","","","","","Exploratory & Feeding","Consumption","","","","","","","",""
"425","Elk","Michaela Sadiarin","664aada0-4976-408a-a13f-3f2629c3b099","2019-02-07 11:46:26","2019-02-07 12:01:26","2019-02-07 11:53:26","2019-02-07","11:53:26","2019","2","11","Natasha","15.00","","600x600","","Interval","Natasha","7","Inactive","Alert","","","","","","","","Maintenance","Grooming","","","","","","","","","",""
"425","Elk","Michaela Sadiarin","664aada0-4976-408a-a13f-3f2629c3b099","2019-02-07 11:46:26","2019-02-07 12:01:26","2019-02-07 11:54:26","2019-02-07","11:54:26","2019","2","11","Natasha","15.00","","600x600","","Interval","Natasha","8","Inactive","Alert","Locomotion","Walking","","","","","","","","","","","","","","Other","Out of view","",""
"425","Elk","Michaela Sadiarin","664aada0-4976-408a-a13f-3f2629c3b099","2019-02-07 11:46:26","2019-02-07 12:01:26","2019-02-07 11:55:26","2019-02-07","11:55:26","2019","2","11","Natasha","15.00","","600x600","","Interval","Natasha","9","Inactive","Alert","Locomotion","Walking","Social","Sniff","","","","","","","","","","","","","","",""
"425","Elk","Michaela Sadiarin","664aada0-4976-408a-a13f-3f2629c3b099","2019-02-07 11:46:26","2019-02-07 12:01:26","2019-02-07 11:56:26","2019-02-07","11:56:26","2019","2","11","Natasha","15.00","","600x600","","Interval","Natasha","10","Inactive","Alert","","","","","","","","","","","","","","","","","","",""
"425","Elk","Michaela Sadiarin","664aada0-4976-408a-a13f-3f2629c3b099","2019-02-07 11:46:26","2019-02-07 12:01:26","2019-02-07 11:57:26","2019-02-07","11:57:26","2019","2","11","Natasha","15.00","","600x600","","Interval","Natasha","11","Inactive","Alert","Locomotion","Walking","Social","Sniff","","","","","","","","","","","","","","",""
"425","Elk","Michaela Sadiarin","664aada0-4976-408a-a13f-3f2629c3b099","2019-02-07 11:46:26","2019-02-07 12:01:26","2019-02-07 11:58:26","2019-02-07","11:58:26","2019","2","11","Natasha","15.00","","600x600","","Interval","Natasha","12","Inactive","Alert","Locomotion","Walking","","","","","","","","","","","","","","","","",""
"425","Elk","Michaela Sadiarin","664aada0-4976-408a-a13f-3f2629c3b099","2019-02-07 11:46:26","2019-02-07 12:01:26","2019-02-07 11:59:26","2019-02-07","11:59:26","2019","2","11","Natasha","15.00","","600x600","","Interval","Natasha","13","","","Locomotion","Walking","","","","","","","","Exploratory & Feeding","Consumption","","","","","","","",""
"425","Elk","Michaela Sadiarin","664aada0-4976-408a-a13f-3f2629c3b099","2019-02-07 11:46:26","2019-02-07 12:01:26","2019-02-07 12:00:26","2019-02-07","12:00:26","2019","2","12","Natasha","15.00","","600x600","","Interval","Natasha","14","Inactive","Alert","","","","","","","","","","Exploratory & Feeding","Consumption","","","","","","","",""
"425","Elk","Michaela Sadiarin","664aada0-4976-408a-a13f-3f2629c3b099","2019-02-07 11:46:26","2019-02-07 12:01:26","","","","","","","Natasha","15.00","","600x600","","Interval","Natasha","15","","","","","","","","","","","","","","","","","","","","",""
"514","Elk","Brittany Merlo","664aada0-4976-408a-a13f-3f2629c3b099","2019-03-11 15:17:09","2019-03-11 15:32:09","2019-03-11 15:18:09","2019-03-11","15:18:09","2019","3","15","Natasha","15.00","","600x600","","Interval","Natasha","1","Inactive","Resting","","","","","","","","","","","","","","","","","","",""
"514","Elk","Brittany Merlo","664aada0-4976-408a-a13f-3f2629c3b099","2019-03-11 15:17:09","2019-03-11 15:32:09","2019-03-11 15:19:09","2019-03-11","15:19:09","2019","3","15","Natasha","15.00","","600x600","","Interval","Natasha","2","Inactive","Resting","","","","","","","","","","","","","","","","","","",""
"514","Elk","Brittany Merlo","664aada0-4976-408a-a13f-3f2629c3b099","2019-03-11 15:17:09","2019-03-11 15:32:09","2019-03-11 15:20:09","2019-03-11","15:20:09","2019","3","15","Natasha","15.00","","600x600","","Interval","Natasha","3","Inactive","Resting","","","","","","","","","","","","","","","","","","",""
"514","Elk","Brittany Merlo","664aada0-4976-408a-a13f-3f2629c3b099","2019-03-11 15:17:09","2019-03-11 15:32:09","2019-03-11 15:21:09","2019-03-11","15:21:09","2019","3","15","Natasha","15.00","","600x600","","Interval","Natasha","4","Inactive","Resting","","","","","","","","","","","","","","","","","","",""
"514","Elk","Brittany Merlo","664aada0-4976-408a-a13f-3f2629c3b099","2019-03-11 15:17:09","2019-03-11 15:32:09","2019-03-11 15:22:09","2019-03-11","15:22:09","2019","3","15","Natasha","15.00","","600x600","","Interval","Natasha","5","Inactive","Resting","","","","","","","","","","","","","","","","","","",""
